,CART,EBM,Lasso Stumps,RiskSLIM
General,0.746 (0.003),0.75 (0.004),0.747 (0.004),0.704 (0.004)
Violent,0.763 (0.007),0.776 (0.004),0.771 (0.005),0.741 (0.010)
Drug,0.733 (0.002),0.737 (0.002),0.734 (0.003),0.708 (0.002)
Property,0.79 (0.004),0.797 (0.005),0.796 (0.005),0.764 (0.009)
Felony,0.771 (0.002),0.775 (0.001),0.773 (0.001),0.765 (0.001)
Misdemeanor,0.729 (0.005),0.733 (0.006),0.729 (0.006),0.693 (0.010)
