,CART,EBM,Lasso Stumps,RiskSLIM
General,0.595 (0.009),0.612 (0.002),0.608 (0.001),0.568 (0.0)
Violent,0.622 (0.03),0.64 (0.01),0.652 (0.002),0.629 (0.018)
Drug,0.621 (0.01),0.629 (0.003),0.631 (0.001),0.625 (0.0)
Property,0.649 (0.017),0.665 (0.011),0.659 (0.001),0.639 (0.021)
Felony,0.611 (0.003),0.623 (0.005),0.624 (0.0),0.614 (0.0)
Misdemeanor,0.555 (0.004),0.571 (0.003),0.557 (0.0),0.539 (0.002)
