,CART,EBM,Lasso Stumps,RiskSLIM,Performance Range,Arnold PSA
General,0.762 (0.005),0.763 (0.004),0.762 (0.004),0.722 (0.006),0.042,0.697 (0.003)
Violent,0.824 (0.008),0.844 (0.007),0.841 (0.006),0.811 (0.015),0.033,0.793 (0.015)
Drug,0.788 (0.007),0.788 (0.007),0.79 (0.007),0.757 (0.005),0.033,0.673 (0.007)
Property,0.833 (0.012),0.845 (0.008),0.847 (0.01),0.823 (0.007),0.024,0.751 (0.014)
Felony,0.802 (0.006),0.813 (0.005),0.804 (0.006),0.778 (0.006),0.035,0.724 (0.007)
Misdemeanor,0.747 (0.007),0.748 (0.005),0.743 (0.005),0.695 (0.006),0.053,0.688 (0.006)
