,CART,EBM,Lasso Stumps,RiskSLIM
General,0.58 (0.006),0.592 (0.001),0.599 (0.0),0.574 (0.011)
Violent,0.635 (0.008),0.621 (0.009),0.66 (0.001),0.626 (0.0)
Drug,0.656 (0.005),0.628 (0.006),0.654 (0.002),0.634 (0.004)
Property,0.616 (0.023),0.67 (0.014),0.666 (0.003),0.615 (0.014)
Felony,0.62 (0.004),0.606 (0.005),0.626 (0.0),0.597 (0.012)
Misdemeanor,0.536 (0.006),0.539 (0.013),0.556 (0.001),0.529 (0.0)
