,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,Performance Range
General,0.734 (0.003),0.734 (0.003),0.734 (0.003),0.741 (0.003),0.747 (0.003),0.013
Violent,0.809 (0.002),0.809 (0.002),0.81 (0.002),0.819 (0.002),0.826 (0.001),0.017
Drug,0.707 (0.006),0.707 (0.006),0.709 (0.007),0.719 (0.007),0.727 (0.006),0.02
Property,0.767 (0.005),0.765 (0.005),0.767 (0.005),0.786 (0.002),0.792 (0.002),0.026
Felony,0.752 (0.004),0.752 (0.004),0.754 (0.004),0.764 (0.004),0.77 (0.004),0.018
Misdemeanor,0.708 (0.004),0.708 (0.004),0.709 (0.004),0.716 (0.004),0.724 (0.004),0.016
