,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.611 (0.0),0.61 (0.0),0.608 (0.0),0.617 (0.001),0.619 (0.002),0.596 (0.007),0.611 (0.002),0.601 (0.0),0.573 (0.005)
Violent,0.651 (0.004),0.651 (0.003),0.633 (0.0),0.653 (0.003),0.658 (0.004),0.628 (0.007),0.638 (0.007),0.656 (0.001),0.606 (0.0)
Drug,0.626 (0.002),0.627 (0.002),0.618 (0.0),0.613 (0.002),0.64 (0.004),0.618 (0.005),0.635 (0.008),0.626 (0.002),0.623 (0.003)
Property,0.665 (0.001),0.67 (0.005),0.653 (0.0),0.669 (0.001),0.672 (0.003),0.647 (0.011),0.642 (0.029),0.663 (0.001),0.612 (0.001)
Felony,0.63 (0.002),0.631 (0.002),0.624 (0.0),0.632 (0.001),0.627 (0.004),0.608 (0.012),0.62 (0.006),0.622 (0.001),0.585 (0.015)
Misdemeanor,0.554 (0.001),0.555 (0.001),0.549 (0.0),0.559 (0.001),0.577 (0.003),0.559 (0.005),0.565 (0.005),0.55 (0.001),0.543 (0.0)
