,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.615 (0.001),0.614 (0.001),0.61 (0.0),0.619 (0.001),0.617 (0.003)
Violent,0.655 (0.001),0.653 (0.002),0.63 (0.0),0.652 (0.0),0.652 (0.004)
Drug,0.629 (0.001),0.629 (0.001),0.618 (0.0),0.614 (0.002),0.637 (0.002)
Property,0.664 (0.001),0.672 (0.001),0.649 (0.0),0.668 (0.002),0.674 (0.008)
Felony,0.63 (0.001),0.63 (0.001),0.624 (0.0),0.631 (0.001),0.627 (0.005)
Misdemeanor,0.558 (0.0),0.558 (0.0),0.551 (0.0),0.561 (0.001),0.576 (0.002)
