,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.739 (0.003),0.739 (0.003),0.74 (0.004),0.752 (0.004),0.757 (0.003)
Violent,0.765 (0.001),0.766 (0.002),0.767 (0.002),0.776 (0.004),0.783 (0.004)
Drug,0.723 (0.002),0.723 (0.002),0.727 (0.002),0.739 (0.002),0.745 (0.002)
Property,0.78 (0.004),0.779 (0.004),0.784 (0.004),0.801 (0.004),0.805 (0.004)
Felony,0.758 (0.002),0.758 (0.002),0.763 (0.002),0.778 (0.002),0.783 (0.001)
Misdemeanor,0.722 (0.005),0.722 (0.005),0.724 (0.006),0.736 (0.006),0.742 (0.005)
