,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.739 (0.003),0.739 (0.003),0.74 (0.004),0.752 (0.004),0.757 (0.003),0.746 (0.003),0.75 (0.004),0.747 (0.004),0.653 (0.079)
Violent,0.765 (0.001),0.766 (0.002),0.767 (0.002),0.776 (0.004),0.783 (0.004),0.763 (0.007),0.776 (0.004),0.771 (0.005),0.552 (0.043)
Drug,0.723 (0.002),0.723 (0.002),0.727 (0.002),0.739 (0.002),0.745 (0.002),0.733 (0.002),0.737 (0.002),0.734 (0.003),0.645 (0.008)
Property,0.78 (0.004),0.779 (0.004),0.784 (0.004),0.801 (0.004),0.805 (0.004),0.79 (0.004),0.797 (0.005),0.796 (0.005),0.675 (0.022)
Felony,0.758 (0.002),0.758 (0.002),0.763 (0.002),0.778 (0.002),0.783 (0.001),0.771 (0.002),0.775 (0.001),0.773 (0.001),0.695 (0.002)
Misdemeanor,0.722 (0.005),0.722 (0.005),0.724 (0.006),0.736 (0.006),0.742 (0.005),0.729 (0.005),0.733 (0.006),0.729 (0.006),0.57 (0.061)
