Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.756330784868062,0
race,African-American,1,0.7848796033463441,0
race,Hispanic,1,0.7308979425696784,0
race,Hispanic,0,0.7412319510942437,0
race,Caucasian,0,0.7028718757666623,0
race,Caucasian,1,0.7539698159886723,0
race,Other,0,0.7119567600263493,0
race,Other,1,0.7797606230719488,0
sex,male,0,0.7430796967498473,0
sex,male,1,0.7767500452055764,0
sex,female,0,0.6757358320480321,0
sex,female,1,0.7608736203199473,0
race,Other,0,0.6518279687744547,1
race,Other,1,0.649777027971386,1
race,Caucasian,1,0.6434130579746139,1
race,Caucasian,0,0.5833327174370794,1
race,African-American,0,0.6347446127276597,1
race,African-American,1,0.6928611121253585,1
race,Hispanic,0,0.6192629554714929,1
race,Hispanic,1,0.684996443214981,1
sex,male,0,0.6157772917369919,1
sex,male,1,0.6790787748454343,1
sex,female,0,0.6232865515123538,1
sex,female,1,0.6593816184575881,1
race,African-American,0,0.6338927699787681,2
race,African-American,1,0.709887164529483,2
race,Other,0,0.6270485509242646,2
race,Other,1,0.7067408385725596,2
race,Caucasian,1,0.6865571396107284,2
race,Caucasian,0,0.5890067917958147,2
race,Hispanic,0,0.5766441393693803,2
race,Hispanic,1,0.6764332030410577,2
sex,male,0,0.6191417408708823,2
sex,male,1,0.697851443170721,2
sex,female,1,0.7416154071447073,2
sex,female,0,0.5944624506221191,2
race,African-American,0,0.6744677964107987,3
race,African-American,1,0.7328029506272702,3
race,Caucasian,1,0.7242519420111344,3
race,Caucasian,0,0.634871847515322,3
race,Hispanic,0,0.6138662363182216,3
race,Hispanic,1,0.7208899154277065,3
race,Other,0,0.6072515879202943,3
race,Other,1,0.6498500856216521,3
sex,male,0,0.6566161967388435,3
sex,male,1,0.7204432741783203,3
sex,female,0,0.6413781630759986,3
sex,female,1,0.8000871887923745,3
race,Caucasian,1,0.6802143200563526,4
race,Caucasian,0,0.5495485176016781,4
race,African-American,0,0.6153568583497814,4
race,African-American,1,0.6629994907784567,4
race,Hispanic,0,0.5583879461595713,4
race,Hispanic,1,0.7435174742181668,4
race,Other,1,0.6848686108523412,4
race,Other,0,0.5839156933940673,4
sex,male,1,0.6717525625256092,4
sex,male,0,0.5924044962875642,4
sex,female,0,0.5856965433528198,4
sex,female,1,0.6492764912887549,4
