,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.752 (0.004),0.752 (0.004),0.757 (0.004),0.775 (0.003),0.78 (0.003)
Violent,0.828 (0.006),0.83 (0.005),0.834 (0.005),0.843 (0.005),0.846 (0.005)
Drug,0.77 (0.003),0.771 (0.003),0.777 (0.004),0.794 (0.004),0.799 (0.002)
Property,0.83 (0.01),0.829 (0.011),0.83 (0.013),0.856 (0.009),0.86 (0.011)
Felony,0.79 (0.002),0.791 (0.002),0.798 (0.003),0.823 (0.003),0.829 (0.003)
Misdemeanor,0.735 (0.006),0.735 (0.006),0.74 (0.007),0.76 (0.005),0.766 (0.005)
