,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
,,,,,
General,0.572 (0.002),0.573 (0.001),0.567 (0.0),0.574 (0.002),0.574 (0.002)
,,,,,
Violent,0.643 (0.006),0.644 (0.005),0.62 (0.0),0.652 (0.005),0.632 (0.001)
,,,,,
Drug,0.602 (0.003),0.602 (0.002),0.589 (0.0),0.567 (0.005),0.591 (0.003)
,,,,,
Property,0.663 (0.003),0.664 (0.003),0.636 (0.0),0.651 (0.006),0.648 (0.011)
,,,,,
Felony,0.584 (0.003),0.582 (0.003),0.577 (0.0),0.589 (0.002),0.578 (0.004)
,,,,,
Misdemeanor,0.552 (0.001),0.553 (0.001),0.547 (0.0),0.545 (0.002),0.558 (0.003)
