,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.577 (0.002),0.576 (0.001),0.569 (0.0),0.577 (0.001),0.581 (0.002)
Violent,0.641 (0.002),0.644 (0.001),0.614 (0.0),0.643 (0.001),0.626 (0.004)
Drug,0.607 (0.004),0.604 (0.003),0.589 (0.0),0.567 (0.005),0.593 (0.007)
Property,0.662 (0.001),0.665 (0.002),0.635 (0.0),0.652 (0.002),0.656 (0.013)
Felony,0.586 (0.001),0.584 (0.002),0.575 (0.0),0.589 (0.002),0.58 (0.002)
Misdemeanor,0.558 (0.002),0.558 (0.0),0.55 (0.0),0.552 (0.002),0.563 (0.004)
