,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.571 (0.0),0.57 (0.001),0.567 (0.0),0.575 (0.002),0.568 (0.004)
Violent,0.634 (0.003),0.634 (0.003),0.625 (0.0),0.655 (0.003),0.626 (0.003)
Drug,0.584 (0.001),0.586 (0.002),0.581 (0.0),0.582 (0.006),0.592 (0.01)
Property,0.617 (0.002),0.625 (0.005),0.6 (0.0),0.634 (0.005),0.647 (0.005)
Felony,0.598 (0.001),0.598 (0.001),0.596 (0.0),0.595 (0.003),0.581 (0.002)
Misdemeanor,0.544 (0.001),0.545 (0.0),0.54 (0.0),0.548 (0.002),0.556 (0.004)
