,CART,EBM,Lasso Stumps,RiskSLIM
General,0.769 (0.005),0.77 (0.004),0.768 (0.004),0.736 (0.004)
Violent,0.821 (0.011),0.842 (0.005),0.837 (0.004),0.809 (0.005)
Drug,0.783 (0.005),0.785 (0.004),0.786 (0.004),0.752 (0.006)
Property,0.839 (0.014),0.849 (0.011),0.851 (0.01),0.835 (0.009)
Felony,0.811 (0.005),0.818 (0.004),0.812 (0.004),0.79 (0.005)
Misdemeanor,0.754 (0.005),0.753 (0.006),0.75 (0.006),0.705 (0.005)
