,CART,EBM,Lasso Stumps,RiskSLIM
General,0.562 (0.007),0.571 (0.004),0.562 (0.001),0.553 (0.0)
Violent,0.611 (0.013),0.622 (0.009),0.65 (0.001),0.637 (0.002)
Drug,0.58 (0.018),0.618 (0.006),0.576 (0.001),0.566 (0.02)
Property,0.634 (0.016),0.657 (0.008),0.64 (0.004),0.619 (0.0)
Felony,0.563 (0.003),0.571 (0.005),0.574 (0.001),0.55 (0.001)
Misdemeanor,0.554 (0.012),0.559 (0.002),0.542 (0.001),0.526 (0.003)
