,CART,EBM,Lasso Stumps,RiskSLIM
General,0.553 (0.009),0.562 (0.001),0.553 (0.001),0.546 (0.005)
Violent,0.616 (0.005),0.625 (0.011),0.664 (0.0),0.645 (0.008)
Drug,0.582 (0.02),0.619 (0.005),0.57 (0.002),0.533 (0.011)
Property,0.632 (0.016),0.652 (0.01),0.634 (0.005),0.619 (0.0)
Felony,0.556 (0.014),0.565 (0.005),0.566 (0.001),0.542 (0.012)
Misdemeanor,0.544 (0.01),0.556 (0.006),0.533 (0.001),0.526 (0.004)
