,CART,EBM,Lasso Stumps,RiskSLIM
General,0.629 (0.028),0.663 (0.031),0.644 (0.027),0.605 (0.029)
Violent,0.6 (0.037),0.675 (0.049),0.673 (0.035),0.629 (0.038)
Drug,0.672 (0.041),0.69 (0.054),0.709 (0.044),0.63 (0.022)
Property,0.685 (0.058),0.738 (0.031),0.733 (0.039),0.635 (0.056)
Felony,0.598 (0.034),0.656 (0.05),0.64 (0.031),0.56 (0.05)
Misdemeanor,0.585 (0.041),0.633 (0.025),0.603 (0.016),0.552 (0.022)
