,CART,EBM,Lasso Stumps,RiskSLIM
General,0.626 (0.025),0.704 (0.003),0.653 (0.009),0.649 (0.037)
Violent,0.589 (0.053),0.72 (0.005),0.657 (0.018),0.663 (0.025)
Drug,0.613 (0.013),0.656 (0.008),0.626 (0.009),0.634 (0.012)
Property,0.548 (0.018),0.687 (0.011),0.59 (0.014),0.593 (0.052)
Felony,0.592 (0.042),0.725 (0.006),0.676 (0.023),0.631 (0.059)
Misdemeanor,0.574 (0.053),0.669 (0.007),0.621 (0.017),0.631 (0.025)
