Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.35714285714285715,0.92204237086408,0.0011603919546157814,0.9924242424242424,0.9211026615969582,72.77777777777777,8416,0
race,African-American,0.36363636363636365,0.9235510252459405,0.0008975509680728299,0.9938366718027735,0.9228219696969697,92.14285714285714,8448,1
race,African-American,0.3888888888888889,0.9239334270979841,0.001393463389916392,0.989329268292683,0.9228070175438596,59.0,8550,2
race,African-American,0.2,0.922903837044055,0.0005130178273695011,0.9984662576687117,0.9224760326665877,162.75,8449,3
race,African-American,0.38461538461538464,0.9251291912029804,0.0010381520892810796,0.9920382165605095,0.9242860571154308,77.875,8334,4
race,Caucasian,0.40789473684210525,0.9100403395451283,0.0012222614553059727,0.991543917075832,0.9090976459254502,80.77777777777777,40483,0
race,Caucasian,0.36363636363636365,0.9101284939714293,0.000761097067058088,0.9956116291826659,0.9095338197106467,129.64285714285714,40435,1
race,Caucasian,0.4722222222222222,0.9083440881564578,0.001037202827742446,0.9908773812718004,0.9075661480527203,97.1842105263158,40364,2
race,Caucasian,0.5142857142857142,0.9090527252063053,0.00046183102417821244,0.9951338199513382,0.9087116443259523,216.52941176470588,40509,3
race,Caucasian,0.375,0.9091470341285128,0.0009497964721845319,0.9943243243243243,0.9084093711467325,105.11428571428571,40550,4
race,Other,1.0,0.9792993630573248,0.0,0.9629629629629629,0.979315831344471,inf,1257,0
race,Other,0.0,0.98586017282011,0.0,1.0,0.98586017282011,inf,1273,1
race,Other,0.0,0.9782608695652174,0.0,1.0,0.9782608695652174,inf,1242,2
race,Other,0.0,0.9799498746867168,0.0,1.0,0.9799498746867168,inf,1197,3
race,Other,0.0,0.984251968503937,0.0007993605115907274,1.0,0.983477576711251,20.0,1271,4
sex,female,0.4358974358974359,0.920522246165547,0.0015124432833768734,0.9866247049567269,0.9193273060630966,57.0,15817,0
sex,female,0.3333333333333333,0.9263541535754681,0.0004068348250610252,0.9974468085106383,0.9260189662751994,195.33333333333334,15923,1
sex,female,0.5333333333333333,0.9216505284475666,0.0009604170954242985,0.9872408293460925,0.9209146611079527,88.42857142857143,15831,2
sex,female,0.42857142857142855,0.9219651347068146,0.0005497526113249038,0.9951495553759094,0.9215276458293749,153.875,15789,3
sex,female,0.30434782608695654,0.9222699696663297,0.0010951403148528405,0.994341147938561,0.9213731305609895,76.875,15847,4
sex,male,0.38461538461538464,0.9106950156035816,0.0010237706753687173,0.9935107073329007,0.9098983662890591,95.6875,34339,0
sex,male,0.3695652173913043,0.9087079884166496,0.0009326258240874739,0.9945825366475463,0.9079835246691789,107.62068965517241,34233,1
sex,male,0.4166666666666667,0.9086239603093536,0.0011229105842343354,0.9920785804816223,0.9077640203932994,89.45714285714286,34325,2
sex,male,0.5,0.9089982527664531,0.00041629307032150636,0.9958572339069471,0.9086888203456905,240.3846153846154,34366,3
sex,male,0.40425531914893614,0.9097516126207641,0.0008975221976472097,0.9938926390228222,0.9090591115774747,110.42857142857143,34308,4
