,CART,EBM,Lasso Stumps,RiskSLIM
General,0.613 (0.018),0.709 (0.005),0.663 (0.012),0.602 (0.046)
Violent,0.625 (0.059),0.757 (0.004),0.728 (0.026),0.723 (0.004)
Drug,0.6 (0.082),0.609 (0.037),0.619 (0.025),0.635 (0.017)
Property,0.555 (0.007),0.715 (0.018),0.643 (0.022),0.696 (0.053)
Felony,0.552 (0.049),0.724 (0.01),0.652 (0.039),0.621 (0.036)
Misdemeanor,0.604 (0.019),0.676 (0.006),0.615 (0.019),0.583 (0.07)
