,CART,EBM,Lasso Stumps,RiskSLIM
General,0.6 (0.016),0.691 (0.004),0.647 (0.011),0.591 (0.041)
Violent,0.635 (0.064),0.747 (0.005),0.735 (0.027),0.721 (0.006)
Drug,0.593 (0.076),0.594 (0.034),0.578 (0.03),0.626 (0.015)
Property,0.555 (0.007),0.705 (0.017),0.646 (0.019),0.695 (0.053)
Felony,0.548 (0.043),0.709 (0.01),0.64 (0.035),0.612 (0.031)
Misdemeanor,0.594 (0.018),0.659 (0.006),0.605 (0.017),0.575 (0.063)
