,CART,EBM,Lasso Stumps,RiskSLIM
General,0.594 (0.019),0.698 (0.005),0.659 (0.008),0.627 (0.008)
Violent,0.716 (0.102),0.792 (0.008),0.816 (0.012),0.793 (0.01)
Drug,0.579 (0.065),0.607 (0.032),0.613 (0.018),0.637 (0.021)
Property,0.542 (0.008),0.703 (0.014),0.622 (0.028),0.676 (0.041)
Felony,0.517 (0.013),0.71 (0.014),0.667 (0.033),0.624 (0.048)
Misdemeanor,0.593 (0.021),0.669 (0.006),0.616 (0.025),0.598 (0.053)
