,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.6 (0.0),0.6 (0.0),0.599 (0.0),0.613 (0.002),0.605 (0.003)
Violent,0.639 (0.001),0.64 (0.002),0.631 (0.0),0.651 (0.001),0.648 (0.005)
Drug,0.624 (0.002),0.623 (0.001),0.619 (0.0),0.642 (0.004),0.667 (0.004)
Property,0.627 (0.001),0.614 (0.001),0.62 (0.0),0.665 (0.003),0.658 (0.006)
Felony,0.634 (0.0),0.636 (0.001),0.634 (0.0),0.633 (0.0),0.632 (0.003)
Misdemeanor,0.542 (0.0),0.543 (0.001),0.541 (0.0),0.561 (0.002),0.566 (0.005)
