,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.657 (0.011),0.638 (0.003),0.596 (0.005),0.687 (0.008),0.671 (0.018),0.594 (0.019),0.698 (0.005),0.659 (0.008),0.627 (0.008)
Violent,0.791 (0.011),0.784 (0.009),0.664 (0.016),0.818 (0.025),0.836 (0.006),0.716 (0.102),0.792 (0.008),0.816 (0.012),0.793 (0.01)
Drug,0.624 (0.028),0.649 (0.014),0.528 (0.005),0.652 (0.009),0.634 (0.015),0.579 (0.065),0.607 (0.032),0.613 (0.018),0.637 (0.021)
Property,0.689 (0.004),0.692 (0.005),0.55 (0.01),0.702 (0.047),0.724 (0.014),0.542 (0.008),0.703 (0.014),0.622 (0.028),0.676 (0.041)
Felony,0.661 (0.018),0.632 (0.013),0.556 (0.011),0.709 (0.019),0.668 (0.037),0.517 (0.013),0.71 (0.014),0.667 (0.033),0.624 (0.048)
Misdemeanor,0.656 (0.006),0.631 (0.002),0.566 (0.018),0.656 (0.016),0.652 (0.008),0.593 (0.021),0.669 (0.006),0.616 (0.025),0.598 (0.053)
