,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.676 (0.006),0.665 (0.004),0.601 (0.011),0.698 (0.009),0.685 (0.01)
Violent,0.653 (0.015),0.662 (0.021),0.533 (0.011),0.762 (0.047),0.773 (0.007)
Drug,0.663 (0.031),0.678 (0.008),0.521 (0.006),0.682 (0.009),0.658 (0.027)
Property,0.681 (0.012),0.708 (0.009),0.529 (0.012),0.719 (0.053),0.718 (0.01)
Felony,0.685 (0.008),0.679 (0.008),0.556 (0.011),0.719 (0.018),0.683 (0.025)
Misdemeanor,0.664 (0.003),0.658 (0.008),0.558 (0.016),0.67 (0.004),0.662 (0.006)
