,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.624 (0.024),0.607 (0.019),0.619 (0.026),0.62 (0.025),0.621 (0.019),0.553 (0.014),0.62 (0.027),0.617 (0.035),0.582 (0.024)
Violent,0.68 (0.027),0.65 (0.038),0.614 (0.039),0.67 (0.039),0.689 (0.031),0.623 (0.043),0.683 (0.04),0.683 (0.032),0.638 (0.02)
Drug,0.672 (0.082),0.696 (0.025),0.649 (0.08),0.687 (0.065),0.686 (0.044),0.569 (0.074),0.655 (0.035),0.704 (0.054),0.52 (0.04)
Property,0.726 (0.049),0.725 (0.053),0.648 (0.058),0.698 (0.046),0.72 (0.052),0.637 (0.052),0.723 (0.03),0.699 (0.038),0.655 (0.044)
Felony,0.62 (0.058),0.613 (0.054),0.587 (0.086),0.611 (0.076),0.601 (0.047),0.524 (0.015),0.605 (0.052),0.584 (0.034),0.542 (0.031)
Misdemeanor,0.616 (0.03),0.583 (0.039),0.59 (0.022),0.601 (0.049),0.62 (0.044),0.543 (0.033),0.612 (0.05),0.576 (0.037),0.523 (0.02)
