,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.661 (0.006),0.656 (0.004),0.597 (0.009),0.68 (0.009),0.67 (0.008)
Violent,0.657 (0.015),0.666 (0.019),0.542 (0.011),0.765 (0.043),0.78 (0.005)
Drug,0.651 (0.03),0.667 (0.008),0.52 (0.005),0.67 (0.008),0.643 (0.023)
Property,0.682 (0.012),0.706 (0.01),0.533 (0.014),0.716 (0.052),0.716 (0.009)
Felony,0.678 (0.009),0.674 (0.007),0.556 (0.011),0.706 (0.016),0.671 (0.022)
Misdemeanor,0.648 (0.003),0.647 (0.008),0.555 (0.015),0.653 (0.003),0.647 (0.005)
