,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.669 (0.02),0.649 (0.021),0.67 (0.02),0.657 (0.034),0.659 (0.019),0.629 (0.028),0.663 (0.031),0.644 (0.027),0.622 (0.021)
Violent,0.679 (0.038),0.662 (0.035),0.662 (0.034),0.675 (0.037),0.677 (0.05),0.6 (0.037),0.675 (0.049),0.673 (0.035),0.670 (0.032)
Drug,0.716 (0.047),0.734 (0.034),0.702 (0.043),0.688 (0.044),0.72 (0.034),0.672 (0.041),0.69 (0.054),0.709 (0.044),0.706 (0.027)
Property,0.721 (0.057),0.731 (0.057),0.687 (0.052),0.725 (0.039),0.729 (0.04),0.685 (0.058),0.738 (0.031),0.733 (0.039),0.703 (0.036)
Felony,0.651 (0.04),0.652 (0.053),0.622 (0.036),0.649 (0.045),0.647 (0.039),0.598 (0.034),0.656 (0.05),0.64 (0.031),0.603 (0.042)
Misdemeanor,0.634 (0.017),0.602 (0.012),0.632 (0.017),0.629 (0.022),0.624 (0.02),0.585 (0.041),0.633 (0.025),0.603 (0.016),0.558 (0.026)
