,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,CART,EBM,Lasso Stumps,RiskSLIM
General,0.654 (0.006),0.645 (0.001),0.648 (0.006),0.687 (0.005),0.678 (0.005),0.618 (0.023),0.69 (0.003),0.642 (0.009),0.641 (0.035)
Violent,0.674 (0.005),0.651 (0.007),0.614 (0.013),0.725 (0.005),0.724 (0.005),0.589 (0.052),0.715 (0.005),0.66 (0.025),0.663 (0.022)
Drug,0.638 (0.008),0.625 (0.003),0.552 (0.005),0.646 (0.021),0.64 (0.005),0.606 (0.013),0.642 (0.008),0.618 (0.009),0.626 (0.011)
Property,0.63 (0.022),0.665 (0.013),0.56 (0.016),0.694 (0.017),0.673 (0.021),0.549 (0.018),0.68 (0.01),0.595 (0.014),0.6 (0.05)
Felony,0.665 (0.006),0.657 (0.001),0.593 (0.011),0.713 (0.003),0.698 (0.013),0.589 (0.041),0.714 (0.007),0.667 (0.023),0.624 (0.055)
Misdemeanor,0.627 (0.006),0.614 (0.025),0.576 (0.01),0.651 (0.01),0.635 (0.013),0.567 (0.047),0.655 (0.007),0.612 (0.015),0.621 (0.024)
