<<<<<<< HEAD
,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.664 (0.007),0.653 (0.001),0.658 (0.007),0.701 (0.005),0.689 (0.006)
Violent,0.674 (0.005),0.65 (0.007),0.611 (0.013),0.729 (0.005),0.724 (0.005)
Drug,0.649 (0.008),0.632 (0.003),0.554 (0.005),0.655 (0.022),0.65 (0.006)
Property,0.628 (0.022),0.663 (0.014),0.556 (0.017),0.695 (0.018),0.669 (0.023)
Felony,0.671 (0.006),0.661 (0.002),0.592 (0.014),0.724 (0.003),0.706 (0.014)
Misdemeanor,0.638 (0.007),0.619 (0.026),0.579 (0.01),0.665 (0.011),0.645 (0.014)
=======
,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.645 (0.008),0.628 (0.001),0.641 (0.006),0.672 (0.003),0.654 (0.007)
Violent,0.748 (0.01),0.711 (0.01),0.717 (0.01),0.762 (0.008),0.774 (0.008)
Drug,0.625 (0.009),0.619 (0.004),0.549 (0.004),0.64 (0.016),0.639 (0.006)
Property,0.669 (0.011),0.662 (0.002),0.593 (0.009),0.676 (0.014),0.679 (0.013)
Felony,0.65 (0.012),0.628 (0.003),0.583 (0.014),0.703 (0.004),0.672 (0.016)
Misdemeanor,0.631 (0.006),0.595 (0.024),0.591 (0.01),0.639 (0.004),0.627 (0.013)
>>>>>>> 3eb559d67e1e195964b002b1b70592238a9396e5
