,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.669 (0.02),0.649 (0.021),0.67 (0.02),0.657 (0.034),0.659 (0.019)
Violent,0.679 (0.038),0.662 (0.035),0.662 (0.034),0.675 (0.037),0.677 (0.05)
Drug,0.716 (0.047),0.734 (0.034),0.702 (0.043),0.688 (0.044),0.72 (0.034)
Property,0.721 (0.057),0.731 (0.057),0.687 (0.052),0.725 (0.039),0.729 (0.04)
Felony,0.651 (0.04),0.652 (0.053),0.622 (0.036),0.649 (0.045),0.647 (0.039)
Misdemeanor,0.634 (0.017),0.602 (0.012),0.632 (0.017),0.629 (0.022),0.624 (0.02)
