,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.656 (0.008),0.658 (0.009),0.611 (0.016),0.687 (0.008),0.676 (0.011)
Violent,0.804 (0.023),0.809 (0.009),0.798 (0.022),0.818 (0.025),0.838 (0.004)
Drug,0.627 (0.022),0.617 (0.034),0.53 (0.004),0.649 (0.007),0.651 (0.01)
Property,0.688 (0.005),0.696 (0.003),0.586 (0.033),0.701 (0.047),0.706 (0.013)
Felony,0.659 (0.016),0.653 (0.016),0.577 (0.03),0.711 (0.019),0.668 (0.028)
Property,0.657 (0.005),0.643 (0.017),0.593 (0.027),0.657 (0.014),0.653 (0.008)
