,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,Performance Range
General,0.67 (0.021),0.65 (0.021),0.67 (0.021),0.656 (0.031),0.656 (0.025),0.02
Violent,0.672 (0.042),0.663 (0.04),0.656 (0.031),0.671 (0.038),0.677 (0.052),0.021
Drug,0.712 (0.05),0.73 (0.037),0.693 (0.038),0.705 (0.038),0.72 (0.043),0.037
Property,0.721 (0.066),0.724 (0.07),0.683 (0.055),0.716 (0.028),0.731 (0.039),0.048
Felony,0.64 (0.042),0.644 (0.054),0.626 (0.037),0.646 (0.047),0.646 (0.037),0.02
Misdemeanor,0.632 (0.021),0.594 (0.012),0.629 (0.02),0.627 (0.027),0.622 (0.024),0.037
