,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,Performance Range
General,0.624 (0.021),0.615 (0.025),0.62 (0.025),0.618 (0.018),0.622 (0.016),0.009
Violent,0.675 (0.029),0.677 (0.016),0.661 (0.037),0.673 (0.048),0.691 (0.035),0.03
Drug,0.688 (0.049),0.687 (0.034),0.64 (0.073),0.664 (0.067),0.696 (0.046),0.056
Property,0.723 (0.061),0.727 (0.065),0.668 (0.077),0.687 (0.046),0.709 (0.05),0.058
Felony,0.608 (0.045),0.607 (0.054),0.585 (0.092),0.601 (0.066),0.59 (0.069),0.023
Misdemeanor,0.609 (0.033),0.6 (0.023),0.588 (0.02),0.599 (0.034),0.604 (0.034),0.021
