Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.6377472479993125,0
race,African-American,1,0.6598077824491076,0
race,Hispanic,1,0.5765249761437492,0
race,Hispanic,0,0.6129489022253369,0
race,Caucasian,0,0.6152150104490584,0
race,Caucasian,1,0.6334430991581483,0
race,Other,0,0.6171078702718954,0
race,Other,1,0.6884284894114706,0
sex,male,0,0.6300544611451285,0
sex,male,1,0.6532383010422804,0
sex,female,0,0.6065411571087974,0
sex,female,1,0.6233000468048459,0
race,Other,0,0.5438782565275428,1
race,Other,1,0.6449247199047474,1
race,Caucasian,0,0.5764645164535406,1
race,Caucasian,1,0.6150910704923596,1
race,African-American,1,0.608106426911203,1
race,African-American,0,0.5936601329789487,1
race,Hispanic,1,0.5922302938584016,1
race,Hispanic,0,0.5736940699452427,1
sex,male,0,0.5848481154893646,1
sex,male,1,0.6083085854377713,1
sex,female,0,0.5837382086510458,1
sex,female,1,0.6278005896871742,1
race,African-American,1,0.6267222461600269,2
race,African-American,0,0.5956029989569477,2
race,Other,1,0.6094493384213902,2
race,Other,0,0.5534925841839184,2
race,Caucasian,0,0.5771237416170251,2
race,Caucasian,1,0.6094360524561276,2
race,Hispanic,0,0.5700212063800703,2
race,Hispanic,1,0.6331323136662014,2
sex,male,1,0.6186736898549878,2
sex,male,0,0.589609812873149,2
sex,female,0,0.5669383325053755,2
sex,female,1,0.6315140812154784,2
race,African-American,1,0.6295142887224092,3
race,African-American,0,0.5926535407269059,3
race,Caucasian,0,0.565928411507092,3
race,Caucasian,1,0.5822774929130595,3
race,Hispanic,0,0.5816612390094689,3
race,Hispanic,1,0.6685578275178127,3
race,Other,0,0.5925883140147222,3
race,Other,1,0.6269785075541007,3
sex,male,1,0.6201827598468324,3
sex,male,0,0.5856972281628784,3
sex,female,0,0.5645850846726235,3
sex,female,1,0.6045663213685127,3
race,Caucasian,0,0.553397992254992,4
race,Caucasian,1,0.5804818190144472,4
race,African-American,1,0.6112002763442146,4
race,African-American,0,0.5801358226032711,4
race,Hispanic,1,0.5949379127902732,4
race,Hispanic,0,0.5817470735874406,4
race,Other,1,0.636983379775657,4
race,Other,0,0.559854375953214,4
sex,male,0,0.5755352500523274,4
sex,male,1,0.6032921038618728,4
sex,female,0,0.5500167290022048,4
sex,female,1,0.6075452888914944,4
